Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,TD,Y/A,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
12,12,11,12,2014-11-20,KAN,@,OAK,L 20-24,*,5,4,67,16.8,0,80.0,13.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,62,93.9,0,0.0,4,12.5
13,13,12,13,2014-11-30,KAN,,DEN,L 16-29,,3,3,36,12.0,0,100.0,12.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,37,82.2,0,0.0,2,6.3
14,14,13,14,2014-12-07,KAN,@,ARI,L 14-17,*,9,7,110,15.7,0,77.8,12.2,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,53,81.5,0,0.0,2,8.7
15,15,14,15,2014-12-14,KAN,,OAK,W 31-13,*,6,5,59,11.8,1,83.3,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,52,77.6,0,0.0,7,18.9
16,16,15,16,2014-12-21,KAN,@,PIT,L 12-20,*,7,4,31,7.8,0,57.1,4.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,53,80.3,0,0.0,5,22.7
17,17,16,17,2014-12-28,KAN,,SDG,W 19-7,*,8,7,84,12.0,0,87.5,10.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,57,95.0,0,0.0,6,23.1
18,18,1,1,2015-09-13,KAN,@,HOU,W 27-20,*,6,6,106,17.7,2,100.0,17.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,56,80.0,0,0.0,5,14.7
19,19,2,2,2015-09-17,KAN,,DEN,L 24-31,*,5,4,58,14.5,0,80.0,11.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,60,93.8,0,0.0,4,12.9
20,20,3,3,2015-09-28,KAN,@,GNB,L 28-38,*,10,6,80,13.3,0,60.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,66,93.0,0,0.0,2,6.5
21,21,4,4,2015-10-04,KAN,@,CIN,L 21-36,*,7,5,49,9.8,0,71.4,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,70,93.3,0,0.0,7,23.3
22,22,5,5,2015-10-11,KAN,,CHI,L 17-18,*,6,3,35,11.7,0,50.0,5.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,54,93.1,0,0.0,5,17.9
23,23,6,6,2015-10-18,KAN,@,MIN,L 10-16,*,7,5,88,17.6,0,71.4,12.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,51,82.3,0,0.0,2,8.3
24,24,7,7,2015-10-25,KAN,,PIT,W 23-13,*,6,5,73,14.6,0,83.3,12.2,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,61,96.8,0,0.0,6,25.0
25,25,8,8,2015-11-01,KAN,,DET,W 45-10,*,8,6,49,8.2,1,75.0,6.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,55,84.6,0,0.0,6,20.0
26,26,9,10,2015-11-15,KAN,@,DEN,W 29-13,*,9,5,36,7.2,0,55.6,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,65,94.2,0,0.0,7,23.3
27,27,10,11,2015-11-22,KAN,@,SDG,W 33-3,*,7,5,46,9.2,0,71.4,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,63,100.0,0,0.0,7,25.0
28,28,11,12,2015-11-29,KAN,,BUF,W 30-22,*,7,4,69,17.3,1,57.1,9.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,60,96.8,0,0.0,7,24.1
29,29,12,13,2015-12-06,KAN,@,OAK,W 34-20,*,3,2,42,21.0,0,66.7,14.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,48,94.1,0,0.0,4,14.8
30,30,13,14,2015-12-13,KAN,,SDG,W 10-3,*,5,3,18,6.0,0,60.0,3.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,51,94.4,0,0.0,3,15.8
31,31,14,15,2015-12-20,KAN,@,BAL,W 34-14,*,7,6,73,12.2,0,85.7,10.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,48,85.7,0,0.0,6,20.7
32,32,15,16,2015-12-27,KAN,,CLE,W 17-13,*,8,6,43,7.2,1,75.0,5.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,53,98.1,0,0.0,2,8.7
33,33,16,17,2016-01-03,KAN,,OAK,W 23-17,*,2,1,10,10.0,0,50.0,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,62,95.4,0,0.0,5,17.2
34,34,1,1,2016-09-11,KAN,,SDG,W 33-27 (OT),*,7,6,74,12.3,0,85.7,10.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,62,87.3,0,0.0,5,14.7
35,35,2,2,2016-09-18,KAN,@,HOU,L 12-19,*,7,5,34,6.8,0,71.4,4.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,55,85.9,0,0.0,4,12.5
36,36,3,3,2016-09-25,KAN,,NYJ,W 24-3,*,7,6,89,14.8,1,85.7,12.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,58,92.1,0,0.0,4,22.2
37,37,4,4,2016-10-02,KAN,@,PIT,L 14-43,*,8,5,23,4.6,1,62.5,2.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,71,94.7,0,0.0,0,0.0
38,38,5,6,2016-10-16,KAN,@,OAK,W 26-10,*,3,3,32,10.7,0,100.0,10.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,55,85.9,0,0.0,1,4.3
39,39,6,7,2016-10-23,KAN,,NOR,W 27-21,*,3,2,24,12.0,0,66.7,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,47,90.4,0,0.0,0,0.0
40,40,7,8,2016-10-30,KAN,@,IND,W 30-14,*,10,7,101,14.4,1,70.0,10.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,67,90.5,0,0.0,0,0.0
41,41,8,9,2016-11-06,KAN,,JAX,W 19-14,*,7,5,58,11.6,0,71.4,8.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,43,74.1,0,0.0,0,0.0
